"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"PARACE","Paracetamol ","","Excento de ","$10.00 ","$20.00 ","$20.00 "
"PROSE","Paracetamol susp. 3.2","","Excento de ","$23.75 ","$55.00 ","$55.00 "
"SOLTA","Paracetamol tabletas  750mg  ","","Excento de ","$6.50 ","$20.00 ","$20.00 "
"PARACE","PARACETAMOL TABLETAS ","","Excento de ","$3.60 ","$15.00 ","$15.00 "
"ICETAZ","Paracetamol TABLETAS ","","Excento de ","$3.46 ","$15.00 ","$15.00 "
"ACETIF ","Paracetamol TABLETAS ","","Excento de ","$5.81 ","$15.00 ","$15.00 "
"PARACE","Paracetamol TABLETAS ","","Excento de ","$9.94 ","$24.00 ","$24.00 "
"QUIMO","Paracetamol- Cafeina ","","Excento de ","$15.79 ","$30.00 ","$30.00 "
"TEMPIR","Paracetamol/Cafeina COMP. ","","Excento de ","$16.00 ","$34.00 ","$34.00 "
"GENTIL-","Paracetamol/clorfenamina ","","Excento de ","$27.50 ","$40.00 ","$40.00 "
"PRECI","Paracetamol/Hioscina gts ","","Excento de ","$39.70 ","$79.00 ","$79.00 "
"PREC ","Paracetamol/Hioscina Tab ","","Excento de ","$71.58 ","$151.00 ","$151.00 "
"DUALG","Paracetamol/Ibuprofeno ","","Excento de ","$35.08 ","$75.00 ","$75.00 "
"ROMIN ","Paracetamol/Tramadol ","","Excento de ","$26.59 ","$52.00 ","$52.00 "
"DOLZUC","PIROXICAM CÁPSULAS ","","Excento de ","$20.59 ","$40.00 ","$40.00 "
"SARIDO","SARIDON 500-50mg c/10 ","","Excento de ","$20.00 ","$45.00 ","$45.00 "
"SEDALM","Sedalmerck TABLETAS c/10 ","","Excento de ","$4.39 ","$10.00 ","$10.00 "
"TEMP ","Tempra 500 mg c/10  tab","","Excento de ","$45.37 ","$57.00 ","$57.00 "
"TEMPR ","Tempra Infantil 3.2gr/100ml ","","Excento de ","$168.44 ","$210.00 ","$210.00 "
"TEMPR ","Tempra Pediatrico 100mg/ml ","","Excento de ","$150.37 ","$188.00 ","$188.00 "
"TEMPR","TEMPRA tabletas 500MG ","","Excento de ","$67.30 ","$100.00 ","$100.00 "
"THERAF","THERAFLU SOBRES ","","Excento de ","$16.46 ","$22.00 ","$22.00 "
"GENCA","Tramadol 50mg c/10 tab","","Excento de ","$23.06 ","$50.00 ","$50.00 "
"CITRA ","TRAMADOL TABLETAS ","","Excento de ","$37.27 ","$76.00 ","$76.00 "
"TRAMA","TRAMADOL/ ","","Excento de ","$46.66 ","$95.00 ","$95.00 "
"CLOTRA","TRAMADOL/PARACETAMO","","Excento de ","$34.50 ","$70.00 ","$70.00 "
"TRAMA","Tramadol/Paracetamol ","","Excento de ","$13.77 ","$75.00 ","$75.00 "
"TYLENO","TYLENOL  Paracetamol ","","Excento de ","$55.70 ","$70.00 ","$70.00 "
"TYLRNO","Tylenol (paracetamol) ","","Excento de ","$81.70 ","$110.00 ","$110.00 "
"NALIX","Acido Nalidixico/ ","","Excento de ","$67.90 ","$120.00 ","$120.00 "
"AMK","Amikacina 100mg/2ml c/1 ","","Excento de ","$6.89 ","$15.00 ","$15.00 "
"AMK AD","Amikacina 500mg/2ml AMSA","","Excento de ","$15.68 ","$25.00 ","$25.00 "
"AMK PI","Amikacina aolución ","","Excento de ","$9.12 ","$25.00 ","$25.00 "
"AMIKACI","Amikacina SOL.","","Excento de ","$7.70 ","$20.00 ","$20.00 "
"VALCLA","AMOX/ACIDO ","","Excento de ","$39.03 ","$80.00 ","$80.00 "
"VALVLA","AMOX/ACIDO ","","Excento de ","$44.50 ","$95.00 ","$95.00 "
"CLAVIP","AMOX/ACIDO ","","Excento de ","$49.99 ","$135.00 ","$135.00 "
"GIMAL ","Amoxiciclina susp. ","","Excento de ","$35.80 ","$75.00 ","$75.00 "
"CLAM ","Amoxiciclina/ Acido ","","Excento de ","$51.60 ","$98.00 ","$98.00 "
"CLAMO","Amoxiciclina/Acido ","","Excento de ","$46.70 ","$87.00 ","$87.00 "
"CLAM ","Amoxicilina 400mg/5ml ","","Excento de ","$42.01 ","$95.00 ","$95.00 "
"AMOX ","Amoxicilina 500mg c/12 caps","","Excento de ","$13.14 ","$32.00 ","$32.00 "
"AMOXI ","Amoxicilina 500mg capsulas ","","Excento de ","$22.81 ","$48.00 ","$48.00 "
"CLAM ","Amoxicilina 600mg/5ml ","","Excento de ","$45.00 ","$99.00 ","$99.00 "
"VANDIX","Amoxicilina caps 500mg","","Excento de ","$20.20 ","$41.00 ","$41.00 "
"VANDIX ","Amoxicilina CAPSULAS ","","Excento de ","$12.99 ","$30.00 ","$30.00 "
"DIMPOE","AMOXICILINA CAPSULAS ","","Excento de ","$15.50 ","$40.00 ","$40.00 "
"AMOXI","AMOXICILINA capsulas ","","Excento de ","$25.86 ","$52.00 ","$52.00 "
"VANDI","Amoxicilina Sup. 250mg/5ml ","","Excento de ","$20.20 ","$42.00 ","$42.00 "
"AMOXIC","Amoxicilina Susp 500mg/5 ml ","","Excento de ","$18.06 ","$47.00 ","$47.00 "
"VANDIX ","Amoxicilina Susp 500mg/5ml ","","Excento de ","$29.80 ","$55.00 ","$55.00 "
"PENT ","Amoxicilina Susp.  ","","Excento de ","$21.09 ","$46.00 ","$46.00 "
"GIMAL ","Amoxicilina Susp. 250mg/5ml ","","Excento de ","$31.01 ","$60.00 ","$60.00 "
"PENTIC","Amoxicilina Susp. 500mg/5ml","","Excento de ","$18.85 ","$42.00 ","$42.00 "
"penticlox ","AMOXICILINA SUSPENSION ","","Excento de ","$18.98 ","$50.00 ","$50.00 "
"DIMOPE","AMOXICILINA SUSPENSION ","","Excento de ","$24.59 ","$47.00 ","$47.00 "
"CLAMO","Amoxicilina-Acido ","","Excento de ","$65.00 ","$140.00 ","$140.00 "
"GRAMA","Amoxicilina/Acido calvulanico ","","Excento de ","$47.73 ","$90.00 ","$90.00 "
"CLAVIP","Amoxicilina/acido clavulanico ","","Excento de ","$25.00 ","$40.00 ","$40.00 "
"CLAM ","Amoxicilina/acido Clavulanico ","","Excento de ","$29.78 ","$85.00 ","$85.00 "
"GIMACL","Amoxicilina/Acido Clavulanico ","","Excento de ","$43.99 ","$97.00 ","$97.00 "
"GIMACL","Amoxicilina/Acido Clavulanico ","","Excento de ","$52.99 ","$114.00 ","$114.00 "
"CLAM T ","Amoxicilina/Acido Clavulanico ","","Excento de ","$63.00 ","$148.00 ","$148.00 "
"ACROXI","Amoxicilina/bromhexina ","","Excento de ","$20.80 ","$40.00 ","$40.00 "
"CLAM T","Amoxicilona/Acido ","","Excento de ","$40.74 ","$99.00 ","$99.00 "
"PENTIC","AMOXIICLINA SUSPENSION ","","Excento de ","$22.75 ","$50.00 ","$50.00 "
"AMPI 1G","Ampicilina 1gr c/10 tab","","Excento de ","$19.29 ","$38.00 ","$38.00 "
"AMPI ","AMPICILINA 500MG C/20 ","","Excento de ","$21.30 ","$45.00 ","$45.00 "
"AMPICIL","AMPICILINA 500MG C/20 ","","Excento de ","$28.52 ","$64.00 ","$64.00 "
"AMPI ","Ampicilina 500mg c/20 tab","","Excento de ","$17.33 ","$37.00 ","$37.00 "
"AMBIDR","AMPICILINA 500MG ","","Excento de ","$19.50 ","$40.00 ","$40.00 "
